"Id","SalePrice"
1461,120315.808211435
1462,151272.043460945
1463,174798.840923763
1464,196931.167382947
1465,172192.808611499
1466,172542.81267124
1467,194424.123814358
1468,164302.626716331
1469,197433.523543586
1470,117483.7272705
1471,194446.735037221
1472,106508.49515486
1473,99738.5642641376
1474,151926.294489936
1475,118758.622833575
1476,325149.395088118
1477,232370.717642752
1478,273111.837926917
1479,260111.651880263
1480,484827.035355572
1481,307681.724732331
1482,194850.353421161
1483,170260.301025878
1484,159550.198570611
1485,183179.145460268
1486,197046.132022131
1487,291769.768896878
1488,243821.943479491
1489,181160.517731943
1490,213133.179148059
1491,188211.954001995
1492,94457.5812619678
1493,201515.077298242
1494,291132.253716802
1495,289812.78764417
1496,211284.514350956
1497,169934.807382301
1498,151267.980649845
1499,158847.986288469
1500,147051.347940069
1501,156773.428889797
1502,146597.883566927
1503,272794.178160096
1504,242959.707336973
1505,225305.223830844
1506,190196.608012574
1507,253510.582607279
1508,196002.432579826
1509,156259.314376347
1510,140463.067879911
1511,139321.545538787
1512,165119.026560922
1513,141219.76292782
1514,166129.006981252
1515,204629.000149775
1516,152155.473775756
1517,172239.911874601
1518,135080.184943225
1519,221344.147566756
1520,121893.557288067
1521,121201.911315071
1522,172643.838661794
1523,98739.7915505634
1524,116107.953286483
1525,114910.610128015
1526,102225.918171286
1527,103270.628488619
1528,152261.779381277
1529,135138.083904253
1530,196024.368694247
1531,109572.428522069
1532,104556.284128832
1533,152673.424806743
1534,126378.45594835
1535,151555.464670959
1536,104312.956140307
1537,70887.7252585151
1538,166486.704377711
1539,191829.094905442
1540,94412.8829377645
1541,139744.627121163
1542,137595.101711694
1543,179683.044852154
1544,92703.7084862499
1545,120941.473166626
1546,135859.207713855
1547,128598.756557877
1548,134123.462464046
1549,118152.797988761
1550,123995.701210953
1551,120680.456997339
1552,120055.955033639
1553,129713.401412807
1554,122738.492649455
1555,159306.264914414
1556,85981.1752600454
1557,90498.0299863095
1558,100336.605226684
1559,73438.8645206525
1560,132008.345070137
1561,122804.343713654
1562,131344.590124029
1563,115642.894627155
1564,162780.206207382
1565,147338.061215985
1566,255290.557613049
1567,81779.0792423641
1568,210367.105609494
1569,114928.749756438
1570,142316.457272854
1571,113049.335753024
1572,144550.121992046
1573,241499.90677313
1574,116233.865055338
1575,222756.502500324
1576,257672.731953368
1577,179996.025760348
1578,136451.426297846
1579,136937.009651092
1580,196850.67600046
1581,155691.874875845
1582,126531.879340161
1583,330268.657253713
1584,221789.553859217
1585,140186.886143819
1586,80590.2861563779
1587,103485.412308592
1588,139554.995045914
1589,98553.3220983823
1590,140879.758903008
1591,87242.1814649083
1592,120423.200620655
1593,123976.299724264
1594,128683.970677113
1595,94278.6263802689
1596,206073.048590752
1597,165137.429329686
1598,192779.265175269
1599,183337.92680795
1600,172455.075436197
1601,68482.2401508625
1602,107135.975617863
1603,85761.5613296184
1604,239766.114831243
1605,260287.476972995
1606,178181.575280194
1607,187873.027192957
1608,216180.508883371
1609,178685.918810681
1610,145072.692855763
1611,140023.089120344
1612,162597.589111776
1613,166913.14871721
1614,124748.296659978
1615,95113.3451140632
1616,78973.7966586661
1617,96816.5848572532
1618,124467.203044647
1619,147648.360487604
1620,170810.877543858
1621,136191.374385548
1622,128485.125730674
1623,285328.864106439
1624,213125.741361674
1625,116335.930234258
1626,178788.961815028
1627,190299.253178896
1628,276686.042567363
1629,178430.008683778
1630,326266.315871317
1631,198105.136724716
1632,215465.203974101
1633,173330.905819271
1634,186200.572331611
1635,177260.719346142
1636,155387.108610885
1637,185558.66701387
1638,206705.519650343
1639,191349.021437728
1640,264883.314174342
1641,183697.484112573
1642,223180.372607415
1643,224450.886159086
1644,228155.373998447
1645,209982.314810275
1646,170272.513662792
1647,168757.138628893
1648,128039.697711743
1649,136687.984159993
1650,120310.104597109
1651,124369.013087984
1652,109300.335420523
1653,115193.300912878
1654,145299.636121517
1655,148112.401678735
1656,143523.953743839
1657,148208.284265111
1658,144871.471676895
1659,127662.93724505
1660,153349.418994778
1661,463125.819431429
1662,376554.004472393
1663,354966.94118623
1664,571264.751326063
1665,286783.049910689
1666,330410.54958383
1667,344448.662730484
1668,320681.91663504
1669,290599.420911595
1670,330307.717099193
1671,257414.219111668
1672,438192.329796527
1673,286624.003326595
1674,246208.950660644
1675,176448.419674576
1676,184115.047098238
1677,205602.680366569
1678,496055.691435304
1679,353784.156971397
1680,282941.413229112
1681,221241.771121167
1682,293865.434794655
1683,178045.124023868
1684,184921.096398748
1685,169472.873712703
1686,167216.678565058
1687,169928.870350761
1688,191852.169797857
1689,194521.158283631
1690,201099.184272745
1691,191442.540483155
1692,260080.206550759
1693,165870.868868466
1694,181917.218043559
1695,169440.623886838
1696,274590.265586618
1697,177291.764147975
1698,366203.409725368
1699,319581.375803403
1700,238815.534047393
1701,263628.437469073
1702,246476.597894055
1703,252820.001278142
1704,290289.60181811
1705,223270.657639201
1706,449536.572577642
1707,189175.335827376
1708,194431.457124137
1709,275376.153648087
1710,218197.272613326
1711,264070.296949784
1712,243104.242826912
1713,270123.000346182
1714,218573.110697869
1715,197992.224213419
1716,187551.7123462
1717,177852.838363988
1718,134551.384695494
1719,198711.299754627
1720,245384.625619164
1721,173734.646475509
1722,124758.399148725
1723,159493.151443936
1724,204730.326463222
1725,228387.199467945
1726,174759.306153399
1727,147820.983850941
1728,183398.523981048
1729,165745.827908992
1730,179265.917832305
1731,119612.770383012
1732,128603.349702771
1733,111738.322188626
1734,117502.627003106
1735,135821.877334706
1736,112240.234564235
1737,378473.075613051
1738,252055.182733252
1739,269597.400203551
1740,195800.269014725
1741,182272.690895696
1742,155112.817824412
1743,167424.068107934
1744,318029.959920168
1745,198056.579167215
1746,211593.118998046
1747,229025.880484042
1748,221925.862900472
1749,151626.174228487
1750,140348.431660362
1751,250277.899021812
1752,115399.004642962
1753,144918.880501382
1754,206287.507160091
1755,157043.927137071
1756,125203.823063372
1757,113591.723612384
1758,138006.760068987
1759,166331.789194147
1760,166908.89692413
1761,161987.247726306
1762,168518.878342135
1763,162167.501321074
1764,110322.153507258
1765,178775.437302397
1766,186782.736173245
1767,242376.578403768
1768,136215.396617096
1769,178103.246137053
1770,158158.252924757
1771,115575.87114047
1772,125185.908233642
1773,124116.868866707
1774,135665.030697023
1775,135379.344027009
1776,109811.032091563
1777,106380.695297728
1778,141680.491158095
1779,107273.102332622
1780,182820.700524291
1781,116883.723368389
1782,83491.3390122033
1783,137451.346126456
1784,94919.4695843429
1785,104035.812566209
1786,127189.528587317
1787,161770.141240164
1788,64973.4017944936
1789,102852.490855886
1790,71849.503378889
1791,206198.895907236
1792,153160.222954619
1793,142058.135978244
1794,168033.764592452
1795,128860.598021889
1796,121784.685171533
1797,123800.863327247
1798,112183.282120463
1799,111761.956100652
1800,108868.22777204
1801,121918.807252743
1802,145894.841127815
1803,145338.765255403
1804,139344.577126534
1805,143593.337773848
1806,135223.119629602
1807,139320.719775258
1808,121838.584191554
1809,111934.157728649
1810,127852.846851407
1811,86565.5676591346
1812,89142.3224499787
1813,124431.788222948
1814,89222.6935677486
1815,60755.2353481375
1816,100522.471993111
1817,94377.6565943581
1818,134033.056535136
